RunId,iteration,Step,n_g,n_y,n_r,n_waste,width,height,strategy,Total_waste_disposed,Left_waste_green
0,0,193,2,2,2,12,15,15,1,7,4
40,0,233,3,2,2,48,15,15,2,28,16
6,0,504,2,2,2,96,15,15,1,56,32
8,0,444,2,2,2,96,15,15,3,64,32
41,0,1000,3,2,2,48,15,15,3,27,16
42,0,489,3,2,2,96,15,15,1,56,32
12,0,309,2,2,3,48,15,15,1,28,16
5,0,1000,2,2,2,48,15,15,3,26,14
3,0,1000,2,2,2,48,15,15,1,27,14
43,0,451,3,2,2,96,15,15,2,56,32
22,0,239,2,3,2,48,15,15,2,28,16
44,0,1000,3,2,2,96,15,15,3,55,30
49,0,152,3,2,3,48,15,15,2,28,16
51,0,355,3,2,3,96,15,15,1,63,32
48,0,1000,3,2,3,48,15,15,1,27,14
2,0,1000,2,2,2,12,15,15,3,2,2
1,0,85,2,2,2,12,15,15,2,7,4
53,0,297,3,2,3,96,15,15,3,73,32
47,0,1000,3,2,3,12,15,15,3,6,4
9,0,166,2,2,3,12,15,15,1,7,4
54,0,1000,3,3,2,12,15,15,1,6,2
45,0,1000,3,2,3,12,15,15,1,6,2
55,0,1000,3,3,2,12,15,15,2,5,2
46,0,1000,3,2,3,12,15,15,2,5,2
60,0,478,3,3,2,96,15,15,1,73,32
57,0,1000,3,3,2,48,15,15,1,27,14
58,0,1000,3,3,2,48,15,15,2,37,16
66,0,197,3,3,3,48,15,15,1,28,16
25,0,1000,2,3,2,96,15,15,2,55,32
17,0,309,2,2,3,96,15,15,3,56,32
13,0,1000,2,2,3,48,15,15,2,27,14
61,0,467,3,3,2,96,15,15,2,63,32
10,0,1000,2,2,3,12,15,15,2,15,2
52,0,1000,3,2,3,96,15,15,2,55,32
68,0,1000,3,3,3,48,15,15,3,27,14
7,0,432,2,2,2,96,15,15,2,56,32
18,0,1000,2,3,2,12,15,15,1,6,4
4,0,221,2,2,2,48,15,15,2,28,16
50,0,1000,3,2,3,48,15,15,3,35,16
37,0,1000,3,2,2,12,15,15,2,6,4
71,0,304,3,3,3,96,15,15,3,63,32
69,0,346,3,3,3,96,15,15,1,56,32
16,0,307,2,2,3,96,15,15,2,56,32
67,0,1000,3,3,3,48,15,15,2,27,14
64,0,1000,3,3,3,12,15,15,2,6,4
62,0,461,3,3,2,96,15,15,3,56,32
11,0,1000,2,2,3,12,15,15,3,3,2
63,0,1000,3,3,3,12,15,15,1,5,2
38,0,1000,3,2,2,12,15,15,3,3,2
14,0,1000,2,2,3,48,15,15,3,42,14
59,0,1000,3,3,2,48,15,15,3,24,16
35,0,323,2,3,3,96,15,15,3,56,32
65,0,1000,3,3,3,12,15,15,3,5,2
19,0,1000,2,3,2,12,15,15,2,6,4
70,0,1000,3,3,3,96,15,15,2,55,30
56,0,1000,3,3,2,12,15,15,3,1,2
30,0,308,2,3,3,48,15,15,1,52,16
21,0,1000,2,3,2,48,15,15,1,27,16
34,0,311,2,3,3,96,15,15,2,78,32
36,0,1000,3,2,2,12,15,15,1,6,2
39,0,1000,3,2,2,48,15,15,1,27,14
29,0,1000,2,3,3,12,15,15,3,0,4
33,0,308,2,3,3,96,15,15,1,65,32
15,0,359,2,2,3,96,15,15,1,56,32
26,0,1000,2,3,2,96,15,15,3,68,32
28,0,1000,2,3,3,12,15,15,2,9,4
31,0,1000,2,3,3,48,15,15,2,38,16
24,0,1000,2,3,2,96,15,15,1,65,30
27,0,1000,2,3,3,12,15,15,1,6,4
23,0,1000,2,3,2,48,15,15,3,27,14
32,0,1000,2,3,3,48,15,15,3,35,16
20,0,1000,2,3,2,12,15,15,3,6,4
